resolution,mean_rmse,late_rmse,late_open_loop_rmse,resampling_count,mean_ess
32,0.04825748213421443,0.039940231313937806,0.04129941494578308,14,338.67905864569434
16,0.04666810787497467,0.03985951878306201,0.04129941494578308,10,347.70025581011885
8,0.04007476643024595,0.03840692838721063,0.04129941494578308,14,331.70653963395785
4,0.021537374036935727,0.025032491991863127,0.04129941494578308,11,351.1044433508032
2,0.00946632624439708,0.010875123038893826,0.04129941494578308,4,391.5682985907957
